Participant ID,raw_n,ml_n,pct_retained
2018,383,293,76.50130548302873
2019,383,46,12.010443864229766
2020,383,51,13.315926892950392
2021,383,167,43.60313315926893
2022,383,68,17.75456919060052
2023,383,39,10.182767624020887
2024,383,31,8.093994778067886
2025,383,48,12.532637075718014
2027,383,40,10.443864229765012
2029,92,21,22.82608695652174
2031,432,20,4.62962962962963
2032,306,24,7.8431372549019605
2033,383,4,1.0443864229765014
2034,383,52,13.577023498694519
2035,383,75,19.5822454308094
2036,342,104,30.409356725146196
2037,383,145,37.85900783289817
2038,297,21,7.07070707070707
2039,383,11,2.8720626631853787
2040,383,62,16.187989556135772
2041,383,112,29.242819843342037
2042,383,80,20.887728459530024
2043,383,31,8.093994778067886
2044,383,287,74.93472584856397
2045,383,108,28.198433420365536
2046,383,62,16.187989556135772
2047,383,10,2.610966057441253
2048,383,188,49.08616187989556
2049,383,22,5.7441253263707575
2050,383,103,26.89295039164491
2051,92,44,47.82608695652174
2052,383,76,19.843342036553523
2053,383,39,10.182767624020887
2054,383,9,2.3498694516971277
2056,383,49,12.793733681462141
2057,383,51,13.315926892950392
2058,383,289,75.45691906005221
2059,383,34,8.87728459530026
2061,383,1,0.26109660574412535
2064,383,175,45.69190600522193
2065,382,1,0.2617801047120419
2066,369,44,11.924119241192411
2069,383,67,17.4934725848564
2071,48,34,70.83333333333334
2074,383,0,0.0
2075,383,0,0.0
2076,383,1,0.26109660574412535
2079,383,122,31.853785900783286
2080,382,153,40.05235602094241
2081,383,2,0.5221932114882507
2082,383,284,74.1514360313316
2083,383,163,42.55874673629243
2085,383,177,46.21409921671018
2086,280,162,57.85714285714286
2087,383,128,33.420365535248045
2088,383,1,0.26109660574412535
2090,383,42,10.966057441253264
2091,383,201,52.48041775456919
2092,394,124,31.472081218274113
2093,383,34,8.87728459530026
2095,383,70,18.27676240208877
2099,383,69,18.01566579634465
2100,383,38,9.921671018276761
2101,383,0,0.0
2102,383,26,6.7885117493472595
2103,383,291,75.97911227154047
2104,383,2,0.5221932114882507
2105,383,109,28.459530026109658
2106,383,14,3.6553524804177546
2107,312,54,17.307692307692307
2108,383,348,90.86161879895562
2109,383,0,0.0
2110,383,28,7.310704960835509
2111,383,89,23.237597911227155
2112,383,6,1.5665796344647518
2113,91,16,17.582417582417584
2114,383,128,33.420365535248045
2115,405,16,3.950617283950617
2116,383,238,62.14099216710183
2117,383,72,18.79895561357702
2118,383,295,77.02349869451697
2119,383,0,0.0
2121,383,233,60.835509138381205
2122,383,349,91.12271540469973
2123,383,18,4.699738903394255
2124,383,168,43.86422976501306
2126,383,37,9.660574412532636
2127,383,103,26.89295039164491
2128,383,8,2.088772845953003
2129,383,80,20.887728459530024
2131,383,76,19.843342036553523
2134,383,33,8.616187989556137
2135,383,281,73.36814621409921
2136,383,326,85.11749347258485
2137,312,23,7.371794871794872
2138,383,25,6.527415143603134
2139,383,32,8.355091383812011
2140,383,279,72.84595300261097
2142,383,23,6.005221932114883
2143,383,91,23.759791122715406
2145,383,8,2.088772845953003
2146,383,58,15.143603133159269
2147,57,1,1.7543859649122806
2148,383,313,81.72323759791122
2149,383,47,12.27154046997389
2150,383,117,30.548302872062667
2151,383,36,9.39947780678851
2153,383,206,53.78590078328982
2154,383,16,4.177545691906006
2155,163,1,0.6134969325153374
2156,383,173,45.16971279373368
2158,348,34,9.770114942528735
2160,383,304,79.37336814621409
2162,383,14,3.6553524804177546
2163,383,52,13.577023498694519
2164,312,102,32.69230769230769
2166,383,43,11.22715404699739
2168,383,148,38.642297650130544
2174,368,66,17.934782608695652
2175,232,36,15.517241379310345
